Z,AtomicMass,AtomicRadius,BoilingPoint,Density,Electronegativity,IonizationEnergies,MeltingPoint,MolarVolume,Phase,DiscoveryYear,Block,StableIsotopes,HumanAbundance,ElectronAffinity,ThermalConductivity,ElectricalConductivity,MohsHardness
31,0.5741034415744919,0.45505617977528096,0.43376476786594204,0.5539862684092753,0.4961890243902438,0.5741153342645724,0.6931170815459657,0.6633385177776855,0.75,0.28662650602409734,0.5625,0.08333333333333333,-1,0.6878939828080229,0.6994244765636287,0.6641129032258064,0.6428571428571428
32,0.5666621136422605,0.48595505617977536,0.35499144917330633,0.5732758538069613,0.45045731707317066,0.46219898201926934,0.5142302461973044,0.6506754011128362,0.75,0.24749999999999994,0.5625,0.25,-1,0.49426934097421205,0.6453542551833981,0.7499758064516129,0.271978021978022
33,0.5607960843717062,0.5168539325842697,0.6370920028031024,0.5598627858195858,0.4115853658536584,0.37373997628105027,0.5381135899441869,0.6543654809586607,0.75,0.5376492194674013,0.5625,0.,0.35946238144929143,0.582378223495702,0.6627962620802467,0.7100806451612903,0.478021978021978
34,0.5504586028713543,0.5477528089887641,0.6280126105511915,0.5900089881278456,0.3269817073170731,0.37632674771930663,0.6554629128884736,0.6346288298778784,0.75,0.4700602409638561,0.5625,0.3333333333333333,0.35946238144929143,0.330945558739255,0.7490993122058536,-1,0.6016483516483516
35,0.5480421551355351,0.5730337078651686,0.7080647168849414,0.6464169151341598,0.2332317073170731,0.2982864750046894,0.7004140042109243,0.5954738712115034,0.375,0.4415963855421696,0.5625,0.08333333333333333,0.2700108095242198,0.0524355300859598,0.7497969924817275,0.75,-1
36,0.538074308225281,0.5926966292134832,0.7352031482046674,0.7498784822521272,0.22408536585365846,0.22919830722732337,0.72996004347438,0.0018244271574497928,0.,0.22354838709677471,0.5625,0.4166666666666667,-1,0.75,0.7499898487519859,-1,-1
37,0.5337999603129178,0.0926966292134832,0.6276289742588572,0.6991395685102793,0.722560975609756,0.7214518591185013,0.691236735851137,0.5272164666962869,0.75,0.33090361445783256,0.75,0.,0.2598473652849758,0.6492120343839541,0.6488426565627678,0.6495967741935484,0.7417582417582417
38,0.5282907666508097,0.2219101123595506,0.5388811119655306,0.6626852401683528,0.6928353658536585,0.595257429152253,0.5459893834303806,0.5724138318845802,0.75,0.5252525252525253,0.75,0.25,0.2598473652849758,0.7391905444126075,0.6889592724255196,0.6568548387096774,0.6428571428571428
39,0.5249992525394716,0.2415730337078652,0.28785509801480996,0.6015296183051211,0.6310975609756097,0.5594750369183594,0.39851515040140295,0.6176763391619765,0.75,0.5251606978879706,0.1875,0.,-1,0.6863896848137536,0.7203548848398471,0.728225806451613,-1
40,0.5190652606763474,0.2584269662921349,0.1517920930002573,0.533833465764877,0.6059451219512194,0.53314530496574,0.3337367489774595,0.6483535545003057,0.75,0.5252754820936639,0.1875,0.25,0.35946238144929143,0.6616762177650429,0.709889680701738,0.7209677419354839,0.3543956043956044
